+----------------------------------------------------------------------------------------------------------------------------------+-------------+----------+
|                                                               URL                                                                |    Score    |   Type   |
|            https://www.whitehouse.gov/the-press-office/2017/02/07/readout-vice-presidents-meeting-right-try-advocates            |   0.627053  | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/07/white-house-director-legislative-affairs-announces-legislative-affairs   |   0.762082  | positive |
|           https://www.whitehouse.gov/the-press-office/2017/02/07/second-lady-announces-kristan-king-nevins-chief-staff           |   0.71806   | positive |
|   https://www.whitehouse.gov/the-press-office/2017/02/07/case-you-missed-it-mcclatchy-historical-precedent-presidents-national   |  -0.434213  | negative |
|    https://www.whitehouse.gov/the-press-office/2017/02/05/radio-interview-president-trump-jim-gray-westwood-one-sports-radio     |   0.13514   | positive |
|                       https://www.whitehouse.gov/the-press-office/2017/02/56/top-highlights-sundays-shows                        |   0.064151  | positive |
|        https://www.whitehouse.gov/the-press-office/2017/02/04/readout-presidents-call-president-petro-poroshenko-ukraine         |   0.824517  | positive |
|       https://www.whitehouse.gov/the-press-office/2017/02/04/readout-presidents-call-prime-minister-paolo-gentiloni-italy        | -0.00155485 | negative |
|                    https://www.whitehouse.gov/the-press-office/2017/02/04/president-trumps-second-week-action                    |   0.483365  | positive |
|                        https://www.whitehouse.gov/the-press-office/2017/02/04/getting-americans-back-work                        |   0.389899  | positive |
|                         https://www.whitehouse.gov/the-press-office/2017/02/03/statement-press-secretary                         |  0.0415432  | positive |
|         https://www.whitehouse.gov/the-press-office/2017/02/03/statement-national-security-advisor-michael-t-flynn-iran          |  -0.639273  | negative |
|    https://www.whitehouse.gov/the-press-office/2017/02/03/president-donald-j-trump-recognizes-national-catholic-schools-week     |   0.906536  | positive |
|    https://www.whitehouse.gov/the-press-office/2017/02/02/readout-vice-presidents-meeting-german-vice-chancellor-and-minister    |   0.277257  | positive |
|   https://www.whitehouse.gov/the-press-office/2017/02/02/president-donald-j-trump-proclaims-february-national-african-american   |   0.95641   | positive |
|    https://www.whitehouse.gov/the-press-office/2017/02/02/white-house-national-security-advisor-announces-nsc-senior-staff-0     |   0.921324  | positive |
|              https://www.whitehouse.gov/the-press-office/2017/02/01/first-lady-melania-trump-announces-chief-staff               |   0.869996  | positive |
|  https://www.whitehouse.gov/the-press-office/2017/02/01/vice-president-mike-pence-announces-jarrod-agen-director-communications  |   0.129085  | positive |
|        https://www.whitehouse.gov/the-press-office/2017/02/01/president-trump-approves-south-dakota-disaster-declaration         |  -0.347261  | negative |
|                    https://www.whitehouse.gov/the-press-office/2017/02/01/statement-national-security-advisor                    |  -0.533989  | negative |
|           https://www.whitehouse.gov/the-press-office/2017/02/01/editorial-boards-across-country-praise-judge-gorsuch            |    0.8906   | positive |
+----------------------------------------------------------------------------------------------------------------------------------+-------------+----------+
