IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
156298757,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,23:15,CENTRAL,NONE,500 Block of THE EMBARCADERONORTH ST,-122.398235203603,37.8001789040645,"(37.8001789040645, -122.398235203603)",15629875706244
156298741,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,12/10/2015,16:05,CENTRAL,NONE,200 Block of STOCKTON ST,-122.40656817787,37.7878092959561,"(37.7878092959561, -122.40656817787)",15629874106374
156298713,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,16:02,CENTRAL,NONE,600 Block of GEARY ST,-122.413988841812,37.7865685406761,"(37.7865685406761, -122.413988841812)",15629871306244
156298707,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,13:00,CENTRAL,NONE,1200 Block of BATTERY ST,-122.401957311851,37.8027753331329,"(37.8027753331329, -122.401957311851)",15629870706244
156298666,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,17:25,PARK,NONE,1600 Block of TURK ST,-122.436253005441,37.7799162726094,"(37.7799162726094, -122.436253005441)",15629866671000
156298644,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/10/2015,22:30,NORTHERN,NONE,CHESTNUT ST / PIERCE ST,-122.439504944797,37.8004024933613,"(37.8004024933613, -122.439504944797)",15629864406372
156298597,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,20:00,NORTHERN,NONE,800 Block of STEINER ST,-122.433057118228,37.7770379710212,"(37.7770379710212, -122.433057118228)",15629859771000
156298569,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/10/2015,17:30,NORTHERN,NONE,VANNESS AV / MCALLISTER ST,-122.420250482603,37.7800745746334,"(37.7800745746334, -122.420250482603)",15629856906372
156298553,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,12/10/2015,18:00,NORTHERN,NONE,PIERCE ST / LOMBARD ST,-122.439337465056,37.7994245989124,"(37.7994245989124, -122.439337465056)",15629855306224
156298490,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,17:45,RICHMOND,NONE,5900 Block of GEARY BL,-122.483145549312,37.7802894327275,"(37.7802894327275, -122.483145549312)",15629849006244
156298359,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,16:00,TARAVAL,NONE,300 Block of DORANTES AV,-122.466875267622,37.7449711879408,"(37.7449711879408, -122.466875267622)",15629835906244
156298343,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,12:00,TARAVAL,NONE,1100 Block of PLYMOUTH AV,-122.456215207322,37.7228856298138,"(37.7228856298138, -122.456215207322)",15629834306244
156298309,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,16:04,CENTRAL,NONE,1100 Block of BATTERY ST,-122.401774710336,37.8018464851371,"(37.8018464851371, -122.401774710336)",15629830906244
156298296,NON-CRIMINAL,LOST PROPERTY,Thursday,12/10/2015,17:10,CENTRAL,NONE,SANSOME ST / CLAY ST,-122.401489655687,37.7948383317469,"(37.7948383317469, -122.401489655687)",15629829671000
156298280,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,12/10/2015,15:45,CENTRAL,NONE,100 Block of BATTERY ST,-122.399931233001,37.7927338103903,"(37.7927338103903, -122.399931233001)",15629828006374
156298218,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,02:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",15629821806244
156298177,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,10:05,PARK,NONE,1600 Block of MCALLISTER ST,-122.439222900635,37.7777427514236,"(37.7777427514236, -122.439222900635)",15629817706244
156298111,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,09:45,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593,"(37.7725405391593, -122.466204667893)",15629811106244
156298105,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,11:40,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593,"(37.7725405391593, -122.466204667893)",15629810506244
156297919,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,00:01,TARAVAL,NONE,100 Block of SADOWA ST,-122.457559461122,37.7123623937181,"(37.7123623937181, -122.457559461122)",15629791906244
156297890,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,02:00,TARAVAL,NONE,300 Block of RALSTON ST,-122.469015297481,37.7187931566454,"(37.7187931566454, -122.469015297481)",15629789006244
156297884,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/10/2015,06:00,TARAVAL,NONE,2700 Block of 34TH AV,-122.491321448285,37.7363097388372,"(37.7363097388372, -122.491321448285)",15629788406244
156297878,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/10/2015,06:00,TARAVAL,NONE,0 Block of ESCONDIDO AV,-122.489924461056,37.7348113662169,"(37.7348113662169, -122.489924461056)",15629787828150
151104745,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Thursday,12/10/2015,12:00,CENTRAL,NONE,700 Block of NORTHPOINT ST,-122.419548468721,37.8057696388121,"(37.8057696388121, -122.419548468721)",15110474509029
